# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun 20 19:26:42 2024
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbsmaxstr not null
# CONSTRAINT:  and st_lumstr not null)
#
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
#
pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim
11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,,,,,,,,,0.450000,0.100000,-0.150000,0,133.000,14.000,-7.000,0,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0,0.752,0.013,-0.020,0
,,,,13.200000,0.200000,-0.200000,0,,,,,635.66000,,,0,,,,,,,,,,,,,1.75,0.05,-0.05,0,0.850,0.060,-0.060,0
14965.00000000,12775.00000000,-4380.00000000,0,14.000000,7.000000,-3.000000,0,,,,,,,,,0.210000,0.190000,-0.150000,0,138.000,15.000,-13.000,0,1.49,0.05,-0.06,0,1.65,0.36,-0.18,0,0.752,0.013,-0.020,0
4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,,,,,,,,,0.013000,0.012000,-0.012000,0,,,,,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,0.136,0.007,-0.015,0
14.46531400,0.00090000,-0.00095000,0,0.113390,0.000110,-0.000110,0,,,,,266.96600,41.63400,-9.85200,0,0.002300,0.002500,-0.001600,0,89.730,24.490,-24.540,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
14.65100000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,,,,,0.004000,0.003000,-0.003000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
14.65126000,0.00070000,-0.00070000,0,0.113800,0.006600,-0.006600,0,,,,,,,,,0.015900,0.008000,-0.008000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
14.65162000,0.00070000,-0.00070000,0,0.115000,0.000001,-0.000001,0,,,,,,,,,0.014000,0.008000,-0.008000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
44.37300000,0.02000000,-0.01800000,0,0.237350,0.000240,-0.000240,0,,,,,56.69850,8.74000,-2.47900,0,0.072000,0.013000,-0.014000,0,89.730,24.490,-24.540,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
44.34460000,0.00700000,-0.00700000,0,0.240000,0.000045,-0.000045,0,,,,,,,,,0.086000,0.052000,-0.052000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
44.37870000,0.00700000,-0.00700000,0,0.238000,0.014000,-0.014000,0,,,,,,,,,0.053000,0.052000,-0.052000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
44.38000000,0.00700000,-0.00700000,0,0.237000,0.001300,-0.001300,0,,,,,,,,,0.070000,0.020000,-0.020000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
4867.00000000,25.00000000,-26.00000000,0,5.446000,0.020000,-0.020000,0,,,,,1226.77000,190.69000,-47.67000,0,0.026900,0.006100,-0.006500,0,89.730,24.490,-24.540,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
4909.00000000,30.00000000,-30.00000000,0,5.470000,0.060000,-0.060000,0,,,,,,,,,0.020000,0.008000,-0.008000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
5370.00000000,230.00000000,-230.00000000,0,5.840000,0.390000,-0.390000,0,,,,,,,,,0.063000,0.030000,-0.030000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
5218.00000000,230.00000000,-230.00000000,0,5.770000,0.110000,-0.110000,0,,,,,,,,,0.025000,0.030000,-0.030000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
2.79674000,0.00010000,-0.00010000,0,0.037700,0.002200,-0.002200,0,,,,,,,,,0.264000,0.060000,-0.060000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
,,,,0.015440,0.000090,-0.000090,0,1.920,0.080,-0.080,0,8.08000,0.31000,-0.31000,0,,,,,83.000,2.000,-1.000,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
0.73654600,0.00000300,-0.00000300,0,0.015830,0.000200,-0.000200,0,2.173,0.097,-0.098,0,8.37000,0.38000,-0.38000,0,0.000000,,,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
0.73653900,0.00000700,-0.00000700,0,0.015440,0.000090,-0.000090,0,1.910,0.080,-0.080,0,8.08000,0.31000,-0.31000,0,,,,,83.300,0.900,-0.800,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
0.73654780,0.00000160,-0.00000120,0,0.015439,0.000015,-0.000015,0,,,,,8.09479,0.26061,-0.25743,0,0.028000,0.022000,-0.019000,0,90.360,3.960,-4.660,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
260.91000000,0.36000000,-0.36000000,0,0.773300,0.001000,-0.001000,0,,,,,47.00510,6.96020,-2.95570,0,0.080000,0.102000,-0.057000,0,89.730,24.490,-24.540,0,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
261.20000000,0.40000000,-0.40000000,0,0.770000,0.005000,-0.005000,0,,,,,,,,,0.320000,0.050000,-0.050000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
260.70000000,1.10000000,-1.10000000,0,0.775000,0.045000,-0.045000,0,,,,,,,,,0.000000,0.200000,-0.200000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
260.00000000,1.10000000,-1.10000000,0,0.781000,0.007000,-0.007000,0,,,,,,,,,0.200000,0.200000,-0.200000,0,,,,,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0,-0.197,0.012,-0.010,0
899.00000000,19.00000000,-19.00000000,0,2.200000,,,0,,,,,,,,,0.134000,0.052000,-0.052000,0,,,,,5.20,0.40,-0.30,0,1.70,0.10,-0.20,0,1.176,,,0
919.86000000,1.92000000,-3.71000000,0,2.028000,0.003000,-0.005000,0,,,,,,,,,0.042000,0.024000,-0.032000,0,,,,,4.94,0.55,-0.50,0,1.32,0.20,-0.21,0,1.119,0.095,-0.098,0
4.21500000,0.00060000,-0.00060000,0,0.050201,0.000005,-0.000005,0,,,,,,,,,0.120000,0.110000,-0.110000,0,,,,,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.095,0.003,-0.003,0
38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,,,,,,,,,0.140000,0.060000,-0.060000,0,,,,,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.095,0.003,-0.003,0
123.01000000,0.55000000,-0.55000000,0,0.476000,0.001000,-0.001000,0,,,,,,,,,0.350000,0.090000,-0.090000,0,,,,,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,-0.095,0.003,-0.003,0
763.00000000,17.00000000,-17.00000000,0,1.900000,0.100000,-0.100000,0,,,,,,,,,0.140000,0.060000,-0.060000,0,,,,,2.30,0.10,-0.10,0,1.52,0.30,-0.30,0,1.053,0.011,-0.012,0
735.10000000,14.80000000,-1.00000000,0,1.758000,0.024000,-0.001000,0,,,,,,,,,0.060000,0.030000,-0.030000,0,90.000,,,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,1.063,0.012,-0.008,0
996.00000000,1.50000000,-52.40000000,0,2.153000,0.003000,-0.080000,0,,,,,,,,,0.080000,0.050000,-0.040000,0,90.000,,,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,1.063,0.012,-0.008,0
116.69260000,0.00140000,-0.00140000,0,0.481000,0.003000,-0.003000,0,,,,,,,,,0.399000,0.002000,-0.002000,0,,,,,1.94,0.05,-0.05,0,1.09,0.02,-0.02,0,0.451,0.009,-0.010,0
691.90000000,3.60000000,-3.60000000,0,2.100000,,,0,,,,,,,,,0.117000,0.048000,-0.048000,0,,,,,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0,1.730,,,0
696.62000000,1.33000000,-1.69000000,0,1.912000,0.002000,-0.003000,0,,,,,,,,,0.093000,0.026000,-0.042000,0,,,,,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,1.714,0.012,-0.021,0
2051.62000000,45.98000000,-40.47000000,0,3.929000,0.058000,-0.052000,0,,,,,,,,,0.023000,0.191000,-0.003000,0,,,,,10.38,0.15,-0.26,0,1.92,0.07,-0.08,0,1.714,0.012,-0.021,0
952.70000000,8.80000000,-8.80000000,0,2.500000,,,0,,,,,,,,,0.206000,0.029000,-0.029000,0,,,,,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0,1.778,,,0
1005.57000000,1.84000000,-1.94000000,0,2.104000,0.003000,-0.003000,0,,,,,,,,,0.037000,0.015000,-0.025000,0,,,,,11.21,0.81,-0.35,0,1.23,0.30,-0.25,0,1.760,0.059,-0.041,0
,,,,93.900000,49.300000,-49.300000,0,,,,,2860.45566,,,0,0.400000,0.200000,-0.210000,0,42.600,15.600,-15.500,0,,,,,2.40,0.20,-0.20,0,1.771,0.035,-0.038,0
8.46321000,0.00004000,-0.00004000,0,0.066000,0.007000,-0.006000,0,4.203,0.202,-0.202,0,,,,,0.100000,0.170000,-0.090000,0,,,,,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,-1.046,,,0
8.46308000,0.00006000,-0.00006000,0,0.064900,0.001200,-0.001200,0,3.957,0.146,-0.146,0,,,,,0.005770,0.001010,-0.001010,0,89.579,0.376,-0.376,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,-1.038,0.049,-0.049,0
18.85969000,0.00008000,-0.00008000,0,0.110800,0.002000,-0.002000,0,2.522,0.247,-0.247,0,,,,,0.003380,0.001640,-0.001640,0,89.227,0.217,-0.217,0,0.74,0.02,-0.02,0,0.51,0.03,-0.03,0,-1.038,0.049,-0.049,0
481.90000000,2.70000000,-2.80000000,0,1.300000,0.100000,-0.100000,0,,,,,,,,,0.200000,0.120000,-0.080000,0,,,,,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,2.700,0.140,-0.140,0
268.94000000,0.99000000,-0.99000000,0,0.777000,,,0,,,,,,,,,0.290000,0.030000,-0.030000,0,,,,,0.95,0.20,-0.20,0,0.86,0.15,-0.15,0,-0.320,,,0
153.22000000,0.44000000,-0.44000000,0,0.576000,0.027000,-0.027000,0,,,,,,,,,0.001000,0.250000,-0.001000,0,,,,,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,1.570,0.100,-0.100,0
137.48000000,0.34000000,-0.34000000,0,0.539000,,,0,,,,,,,,,0.260000,0.100000,-0.100000,0,,,,,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,2.010,0.750,-0.750,0
379.63000000,2.01000000,-2.01000000,0,1.450000,,,0,,,,,,,,,0.150000,0.030000,-0.030000,0,,,,,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,3.170,,,0
621.99000000,10.20000000,-10.20000000,0,2.010000,,,0,,,,,,,,,0.180000,0.060000,-0.060000,0,,,,,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,3.170,,,0
578.20000000,5.40000000,-5.40000000,0,1.300000,,,0,,,,,,,,,0.210000,0.060000,-0.060000,0,,,,,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,1.960,0.180,-0.180,0
41.68550000,0.00300000,-0.00310000,0,0.241000,0.019000,-0.017000,0,2.230,0.140,-0.110,0,16.30000,6.00000,-6.10000,0,0.000000,,,0,89.550,0.170,-0.140,0,0.93,0.06,-0.04,0,0.96,0.03,-0.03,0,-0.056,0.068,-0.064,0
392.60000000,5.50000000,-5.50000000,0,1.000000,,,0,,,,,,,,,0.200000,0.100000,-0.100000,0,,,,,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,1.690,0.330,-0.330,0
733.00000000,5.00000000,-8.00000000,0,1.700000,0.100000,-0.100000,0,,,,,,,,,0.760000,0.050000,-0.090000,0,,,,,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,1.640,0.120,-0.120,0
2590.00000000,300.00000000,-180.00000000,0,4.200000,0.320000,-0.200000,0,,,,,,,,,0.350000,0.240000,-0.100000,0,,,,,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,1.470,0.130,-0.130,0
,,,,1662.000000,,,0,14.684,0.673,-0.673,0,4767.42610,1589.14204,-1589.14204,0,,,,,,,,,0.80,0.05,-0.05,0,1.00,,,0,0.356,0.010,-0.010,0
3.87280000,0.00040000,-0.00040000,0,0.042800,0.000700,-0.000700,0,,,,,,,,,0.000000,,,0,,,,,,,,,0.70,,,0,-1.022,0.043,-0.048,0
125.94000000,0.44000000,-0.44000000,0,0.435000,0.007000,-0.007000,0,,,,,,,,,0.310000,0.110000,-0.110000,0,,,,,,,,,0.70,,,0,-1.022,0.043,-0.048,0
1634.00000000,13.00000000,-14.00000000,0,2.360000,0.040000,-0.040000,0,,,,,,,,,0.050000,0.050000,-0.030000,0,,,,,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,-0.804,0.050,-0.050,0
74.20000000,0.06000000,-0.08000000,0,0.300000,0.010000,-0.010000,0,,,,,,,,,0.400000,0.130000,-0.150000,0,,,,,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,-0.804,0.050,-0.050,0
655.60000000,0.60000000,-0.60000000,0,1.340000,0.020000,-0.020000,0,,,,,,,,,0.540000,0.005000,-0.005000,0,,,,,0.69,,,0,0.74,0.03,-0.03,0,-0.678,0.040,-0.043,0
1891.00000000,56.00000000,-48.00000000,0,2.630000,0.060000,-0.050000,0,,,,,,,,,0.100000,0.100000,-0.100000,0,,,,,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,-0.870,0.006,-0.006,0
6360.00000000,6260.00000000,-711.00000000,0,5.900000,3.400000,-0.500000,0,,,,,,,,,0.100000,0.200000,-0.100000,0,,,,,0.75,0.09,-0.09,0,0.68,0.02,-0.02,0,-0.870,0.006,-0.006,0
2.29070000,0.00012000,-0.00012000,0,0.018500,0.001300,-0.001300,0,,,,,,,,,,,,,87.480,0.250,-0.280,1,0.17,0.01,-0.01,0,0.16,0.01,-0.01,0,-2.533,0.008,-0.008,0
8040000.00000000,470000.00000000,-470000.00000000,0,200.000000,6.000000,-6.000000,0,20.849,0.560,-0.560,0,2479.06157,222.47988,-254.26273,0,,,,,,,,,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,-2.850,0.060,-0.060,0
402000000.00000000,470000000.00000000,-100000000.00000000,0,7506.000000,5205.000000,-2060.000000,0,12.442,0.336,-0.336,0,2002.31896,476.74261,-603.87397,0,,,,,,,,,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,-1.732,0.011,-0.011,0
2.82805268,0.00000065,-0.00000065,0,0.039200,0.001300,-0.001300,0,15.065,0.829,-0.796,0,277.46559,25.74423,-24.79074,0,,,,,85.710,0.390,-0.360,0,1.05,0.05,-0.05,0,1.00,0.10,-0.10,0,0.070,0.010,-0.010,0
1.90009000,0.00000050,-0.00000050,0,0.028800,0.000800,-0.000800,0,12.846,0.437,-0.538,0,1048.83900,60.38770,-60.38770,0,,,,,89.900,1.600,-1.600,0,0.88,0.03,-0.03,0,0.88,0.07,-0.07,0,-0.170,0.060,-0.060,0
3.89713000,0.00002000,-0.00002000,0,0.051800,0.000800,-0.000800,0,14.460,0.340,-0.340,0,352.78000,19.07000,-19.07000,0,0.047000,0.045000,-0.045000,0,88.000,0.700,-0.700,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,0.544,0.024,-0.026,0
9.24318000,0.00000900,-0.00000900,0,0.089100,0.003800,-0.003800,0,11.209,2.018,-2.354,0,1315.81620,114.41880,-95.34900,0,,,,,85.900,2.500,-2.200,0,1.16,0.15,-0.20,0,1.10,0.10,-0.10,0,0.170,0.180,-0.180,0
4.03791560,0.00000120,-0.00000120,0,0.049500,0.001200,-0.001200,0,14.079,0.516,-0.504,0,145.88397,16.84499,-10.17056,0,,,,,85.680,0.180,-0.170,0,1.11,0.04,-0.03,0,0.99,0.07,-0.07,0,0.180,0.050,-0.050,0
