# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 26 12:55:39 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_name desc
#
# COLUMN pl_name:        Planet Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,ttv_flag,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_dist,sy_disterr1,sy_disterr2
Kepler-614 b,1,1,0,14.03491514,0.00002597,-0.00002597,0,0.102700,,,0,2.390,0.200,-0.170,0,0.213,0.018,-0.015,0,6.30000,,,0,0.01980,,,0,M-R relationship,2.540000,,,0,0.000000,,,0,37.20,1.17,-1.13,0,641,,,0,88.370,,,0,0,0.085180,0.001590,-0.001590,0,,5268.00,186.36,-125.95,0,0.81,0.07,-0.05,0,0.85,0.05,-0.05,0,-0.070,0.150,-0.169,0,[Fe/H],-0.418,,,0,4.55,0.04,-0.07,0,527.9950000,5.8805000,-5.8805000
Kepler-613 b,1,1,0,15.77979614,0.00004258,-0.00004258,0,0.123200,,,0,2.290,0.400,-0.170,0,0.204,0.036,-0.015,0,5.86000,,,0,0.01840,,,0,M-R relationship,2.680000,,,0,0.000000,,,0,66.27,3.02,-2.87,0,713,,,0,89.950,,,0,0,0.054140,0.001580,-0.001580,0,,5723.00,68.68,-67.42,0,0.96,0.17,-0.07,0,0.98,0.05,-0.05,0,-0.010,0.139,-0.183,0,[Fe/H],-0.057,,,0,4.47,0.05,-0.14,0,861.4940000,13.6540000,-13.2420000
Kepler-612 b,1,1,0,3.72215641,0.00000376,-0.00000376,0,0.045200,,,0,2.840,0.660,-0.270,0,0.253,0.059,-0.024,0,8.45000,,,0,0.02660,,,0,M-R relationship,2.030000,,,0,0.000000,,,0,997.09,77.42,-70.56,0,1046,,,0,86.760,,,0,0,0.075740,0.001280,-0.001280,0,,5693.00,92.70,-129.13,0,0.96,0.17,-0.08,0,0.98,0.05,-0.05,0,0.040,0.137,-0.155,0,[Fe/H],0.305,,,0,4.46,0.06,-0.14,0,1445.5300000,51.7700000,-48.3700000
Kepler-611 b,1,1,0,2.43703330,0.00000503,-0.00000503,0,0.035100,,,0,1.650,0.510,-0.150,0,0.147,0.045,-0.013,0,3.36000,,,0,0.01060,,,0,M-R relationship,4.110000,,,0,0.000000,,,0,1825.30,113.49,-105.75,0,1513,,,0,89.870,,,0,0,0.024400,0.000580,-0.000580,0,,5761.00,64.93,-69.42,0,1.01,0.24,-0.09,0,1.01,0.05,-0.05,0,0.060,0.155,-0.165,0,[Fe/H],0.383,,,0,4.43,0.07,-0.17,0,1395.5600000,39.4400000,-37.3600000
Kepler-610 c,1,2,0,151.86392000,0.00111800,-0.00111800,0,0.559400,,,0,3.300,0.840,-0.370,0,0.294,0.075,-0.033,0,10.90000,,,0,0.03430,,,0,M-R relationship,1.670000,,,0,0.000000,,,0,2.30,0.14,-0.13,0,318,,,0,89.990,,,0,0,0.084120,0.003070,-0.003070,0,,5943.00,91.96,-127.26,0,1.13,0.31,-0.12,0,1.10,0.09,-0.07,0,0.120,0.148,-0.143,0,[Fe/H],-0.110,,,0,4.37,0.09,-0.19,0,845.8240000,16.7700000,-16.1420000
Kepler-610 b,1,2,0,6.99692655,0.00000559,-0.00000559,0,0.071900,,,0,4.190,1.160,-0.450,0,0.374,0.103,-0.040,0,16.30000,,,0,0.05140,,,0,M-R relationship,1.220000,,,0,0.000000,,,0,139.07,8.42,-7.91,0,888,,,0,89.940,,,0,0,0.138230,0.001360,-0.001360,0,,5943.00,91.96,-127.26,0,1.13,0.31,-0.12,0,1.10,0.09,-0.07,0,0.120,0.148,-0.143,0,[Fe/H],-0.110,,,0,4.37,0.09,-0.19,0,845.8240000,16.7700000,-16.1420000
Kepler-61 b,1,1,0,59.87756000,0.00020000,-0.00020000,0,0.248610,0.009640,-0.009640,0,2.150,0.130,-0.130,0,0.192,0.012,-0.012,0,5.27000,,,0,0.01660,,,0,M-R relationship,2.910000,,,0,0.250000,,,1,1.69,0.17,-0.16,0,273,13,-13,0,89.800,,,-1,0,0.138480,0.003140,-0.003140,0,K7 V,4017.00,68.00,-150.00,0,0.62,0.02,-0.05,0,0.64,0.04,-0.04,0,0.030,0.140,-0.140,0,[Fe/H],-0.971,0.050,-0.056,0,4.67,0.02,-0.02,0,335.0790000,5.0000000,-4.8580000
Kepler-609 b,1,1,0,6.52121067,0.00000864,-0.00000864,0,0.068200,,,0,3.350,1.070,-0.440,0,0.299,0.095,-0.039,0,11.20000,,,0,0.03520,,,0,M-R relationship,1.640000,,,0,0.000000,,,0,258.06,16.52,-15.39,0,932,,,0,88.140,,,0,0,0.076040,0.001260,-0.001260,0,,5971.00,125.14,-171.10,0,1.14,0.35,-0.14,0,1.09,0.09,-0.08,0,0.060,0.143,-0.155,0,[Fe/H],0.065,,,0,4.36,0.10,-0.21,0,1065.8200000,28.0900000,-26.7000000
Kepler-608 b,1,1,0,6.41251504,0.00000542,-0.00000542,0,0.068500,,,0,3.640,0.720,-0.440,0,0.325,0.064,-0.039,0,12.90000,,,0,0.04050,,,0,M-R relationship,1.470000,,,0,0.000000,,,0,270.16,12.73,-12.13,0,1069,,,0,86.110,,,0,0,0.115640,0.000760,-0.000760,0,,5820.00,226.58,-187.94,0,1.01,0.20,-0.11,0,1.00,0.09,-0.07,0,-0.020,0.142,-0.172,0,[Fe/H],0.041,,,0,4.43,0.08,-0.14,0,946.6830000,17.4735000,-17.4735000
Kepler-607 c,1,2,0,39.67679977,,,0,0.212200,,,0,2.760,,,0,0.246,,,0,8.05000,,,0,0.02530,,,0,M-R relationship,2.100000,,,0,0.000000,,,0,11.85,8.75,-4.38,0,473,,,0,89.240,,,0,0,0.061120,0.002610,-0.002610,0,,5244.00,203.00,-184.00,0,0.89,0.20,-0.13,0,0.81,0.11,-0.06,0,0.020,0.300,-0.250,0,[Fe/H],-0.382,,,0,4.45,0.11,-0.19,0,519.1220000,5.4070000,-5.4070000
Kepler-607 b,1,2,0,0.63816320,0.00000168,-0.00000168,0,0.013500,,,0,0.870,0.060,-0.070,0,0.078,0.005,-0.006,0,0.59000,,,0,0.00186,,,0,M-R relationship,4.920000,,,0,0.000000,,,0,2302.61,63.27,-61.76,0,1874,,,0,88.690,,,0,0,0.010970,0.000780,-0.000780,0,,5196.00,94.48,-118.36,0,0.80,0.05,-0.04,0,0.84,0.04,-0.05,0,-0.020,0.146,-0.158,0,[Fe/H],-0.382,,,0,4.56,0.03,-0.06,0,519.1220000,5.4070000,-5.4070000
Kepler-606 b,1,1,0,24.31575992,0.00007998,-0.00007998,0,0.170000,,,0,3.310,1.270,-0.510,0,0.295,0.113,-0.045,0,11.00000,,,0,0.03450,,,0,M-R relationship,1.670000,,,0,0.000000,,,0,71.84,5.38,-4.94,0,683,,,0,88.940,,,0,0,0.064330,0.001740,-0.001740,0,,6161.00,194.78,-227.56,0,1.22,0.45,-0.18,0,1.13,0.17,-0.10,0,0.010,0.133,-0.175,0,[Fe/H],0.254,,,0,4.32,0.11,-0.22,0,1215.1100000,39.7500000,-37.3600000
Kepler-605 c,1,2,0,2.35895152,0.00000837,-0.00000837,0,0.033000,,,0,0.860,0.110,-0.060,0,0.077,0.010,-0.005,0,0.56600,,,0,0.00178,,,0,M-R relationship,4.890000,,,0,0.000000,,,0,513.03,13.68,-13.22,0,1278,,,0,87.910,,,0,0,0.009410,0.000650,-0.000650,0,,5462.00,67.28,-73.73,0,0.88,0.10,-0.05,0,0.91,0.04,-0.04,0,0.020,0.135,-0.165,0,[Fe/H],-0.248,,,0,4.52,0.04,-0.11,0,556.5800000,5.2410000,-5.2410000
Kepler-605 b,1,2,0,3.38353807,0.00000511,-0.00000511,0,0.042000,,,0,1.440,0.170,-0.090,0,0.128,0.015,-0.008,0,2.67000,,,0,0.00839,,,0,M-R relationship,4.910000,,,0,0.000000,,,0,316.72,8.44,-8.16,0,1133,,,0,87.540,,,0,0,0.025570,0.000850,-0.000850,0,,5462.00,67.28,-73.73,0,0.88,0.10,-0.05,0,0.91,0.04,-0.04,0,0.020,0.135,-0.165,0,[Fe/H],-0.248,,,0,4.52,0.04,-0.11,0,556.5800000,5.2410000,-5.2410000
Kepler-604 b,1,1,0,25.85501786,0.00009434,-0.00009434,0,0.173500,,,0,2.590,0.490,-0.270,0,0.231,0.044,-0.024,0,7.22000,,,0,0.02270,,,0,M-R relationship,2.280000,,,0,0.000000,,,0,46.98,2.54,-2.40,0,637,,,0,89.700,,,0,0,0.061050,0.002080,-0.002080,0,,5890.00,174.40,-159.73,0,1.03,0.19,-0.11,0,1.02,0.08,-0.07,0,-0.020,0.142,-0.182,0,[Fe/H],0.092,,,0,4.42,0.07,-0.14,0,1026.4900000,21.2200000,-20.4000000
Kepler-603 d,1,3,0,6.21712920,0.00004234,-0.00004234,0,0.066600,,,0,1.320,0.250,-0.130,0,0.118,0.022,-0.012,0,2.30000,,,0,0.00724,,,0,M-R relationship,5.500000,,,0,0.000000,,,0,610.28,84.44,-71.21,0,1098,,,0,88.140,,,0,0,0.021120,0.000920,-0.000920,0,,5808.00,90.04,-142.55,0,1.01,0.23,-0.10,0,1.01,0.06,-0.06,0,0.030,0.134,-0.166,0,[Fe/H],0.392,,,0,4.43,0.07,-0.16,0,1539.6300000,96.8200000,-96.8200000
Kepler-603 c,1,3,0,127.90757740,0.00049990,-0.00049990,0,0.500100,,,0,6.500,1.480,-0.620,0,0.580,0.132,-0.055,0,34.50000,,,0,0.10800,,,0,M-R relationship,0.690000,,,0,0.000000,,,0,10.82,1.50,-1.26,0,401,,,0,89.580,,,0,1,0.402060,0.002500,-0.002500,0,,5808.00,90.04,-142.55,0,1.01,0.23,-0.10,0,1.01,0.06,-0.06,0,0.030,0.134,-0.166,0,[Fe/H],0.392,,,0,4.43,0.07,-0.16,0,1539.6300000,96.8200000,-96.8200000
Kepler-603 b,1,3,0,21.05358596,0.00008943,-0.00008943,0,0.150200,,,0,2.650,0.590,-0.260,0,0.236,0.053,-0.023,0,7.51000,,,0,0.02360,,,0,M-R relationship,2.220000,,,0,0.000000,,,0,119.99,16.60,-14.00,0,731,,,0,89.980,,,0,0,0.049660,0.001330,-0.001330,0,,5808.00,90.04,-142.55,0,1.01,0.23,-0.10,0,1.01,0.06,-0.06,0,0.030,0.134,-0.166,0,[Fe/H],0.392,,,0,4.43,0.07,-0.16,0,1539.6300000,96.8200000,-96.8200000
Kepler-602 b,1,1,0,15.28469497,0.00006919,-0.00006919,0,0.122400,,,0,2.090,0.650,-0.320,0,0.186,0.058,-0.029,0,5.02000,,,0,0.01580,,,0,M-R relationship,3.020000,,,0,0.000000,,,0,128.78,6.95,-6.53,0,852,,,0,86.510,,,0,0,0.032130,0.000960,-0.000960,0,,6062.00,218.54,-238.63,0,1.13,0.35,-0.17,0,1.08,0.14,-0.10,0,-0.020,0.147,-0.187,0,[Fe/H],0.326,,,0,4.37,0.11,-0.19,0,1159.3100000,26.9950000,-26.9950000
Kepler-601 b,1,1,0,5.37886844,0.00000727,-0.00000727,0,0.056000,,,0,1.900,0.270,-0.180,0,0.170,0.024,-0.016,0,4.27000,,,0,0.01340,,,0,M-R relationship,3.420000,,,0,0.000000,,,0,110.62,2.52,-2.47,0,833,,,0,85.810,,,0,0,0.048340,0.000910,-0.000910,0,,5160.00,61.57,-46.75,0,0.79,0.02,-0.02,0,0.85,0.03,-0.03,0,-0.020,0.096,-0.103,0,[Fe/H],-0.428,,,0,4.57,0.01,-0.02,0,414.8250000,2.4175000,-2.4175000
Kepler-600 b,1,1,0,23.67517607,0.00005668,-0.00005668,0,0.153600,,,0,2.900,0.210,-0.390,0,0.259,0.019,-0.035,0,8.75000,,,0,0.02750,,,0,M-R relationship,1.970000,,,0,0.000000,,,0,20.18,0.80,-0.77,0,528,,,0,88.060,,,0,0,0.101970,0.002310,-0.002310,0,,5279.00,104.56,-92.37,0,0.81,0.06,-0.06,0,0.84,0.05,-0.05,0,-0.090,0.159,-0.180,0,[Fe/H],-0.339,,,0,4.56,0.04,-0.07,0,619.7230000,7.6710000,-7.4880000
Kepler-60 d,1,3,0,11.89810000,0.00020000,-0.00020000,0,0.101200,,,0,1.990,0.160,-0.160,0,0.178,0.014,-0.014,0,4.16000,0.84000,-0.75000,0,0.01309,0.00264,-0.00236,0,Mass,2.910000,1.030000,-0.780000,0,0.002000,0.005100,-0.001500,0,161.00,27.00,-27.00,0,929,,,0,87.210,,,0,1,0.013090,0.001220,-0.001220,0,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0,1.04,0.08,-0.08,0,-0.090,0.100,-0.100,0,[Fe/H],0.369,,,0,4.26,0.13,-0.13,0,1025.1000000,19.9700000,-19.2200000
Kepler-60 c,1,3,0,8.91870000,0.00020000,-0.00020000,0,0.083500,,,0,1.900,0.150,-0.150,0,0.170,0.013,-0.013,0,3.85000,0.81000,-0.81000,0,0.01211,0.00255,-0.00255,0,Mass,3.060000,1.140000,-0.860000,0,0.039000,0.002000,-0.002700,0,236.00,39.00,-39.00,0,1023,,,0,87.320,,,0,1,0.018060,0.000670,-0.000670,0,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0,1.04,0.08,-0.08,0,-0.090,0.100,-0.100,0,[Fe/H],0.369,,,0,4.26,0.13,-0.13,0,1025.1000000,19.9700000,-19.2200000
Kepler-60 b,1,3,0,7.13340000,0.00010000,-0.00010000,0,0.071900,,,0,1.710,0.130,-0.130,0,0.153,0.012,-0.012,0,4.19000,0.56000,-0.52000,0,0.01318,0.00176,-0.00164,0,Mass,4.620000,1.400000,-1.100000,0,0.000000,,,0,318.00,52.00,-52.00,0,1102,,,0,86.520,,,0,1,0.014500,0.000590,-0.000590,0,,5905.00,144.00,-144.00,0,1.26,0.09,-0.09,0,1.04,0.08,-0.08,0,-0.090,0.100,-0.100,0,[Fe/H],0.369,,,0,4.26,0.13,-0.13,0,1025.1000000,19.9700000,-19.2200000
Kepler-6 b,1,1,0,3.23469960,0.00000040,-0.00000040,0,0.048520,0.000740,-0.001330,0,14.617,0.202,-0.370,0,1.304,0.018,-0.033,0,212.31044,12.07754,-11.12405,0,0.66800,0.03800,-0.03500,0,Mass,0.400000,0.060000,-0.040000,0,0.000000,,,0,792.22,19.73,-19.13,0,1460,10,-10,0,88.930,0.190,-0.170,0,0,1.081410,0.000400,-0.000400,0,,5647.00,44.00,-44.00,0,1.39,0.02,-0.03,0,1.21,0.04,-0.04,0,0.340,0.040,-0.040,0,[Fe/H],0.189,0.010,-0.018,0,4.24,0.01,-0.01,0,587.0390000,5.0710000,-4.9860000
Kepler-599 b,1,1,0,15.65562652,0.00003161,-0.00003161,0,0.112800,,,0,2.840,0.150,-0.320,0,0.253,0.013,-0.029,0,8.45000,,,0,0.02660,,,0,M-R relationship,2.030000,,,0,0.000000,,,0,24.47,0.90,-0.86,0,623,,,0,89.420,,,0,0,0.095590,0.002080,-0.002080,0,,5127.00,78.75,-90.28,0,0.79,0.04,-0.04,0,0.83,0.04,-0.04,0,-0.020,0.140,-0.148,0,[Fe/H],-0.522,,,0,4.57,0.03,-0.06,0,558.5170000,7.1660000,-6.9900000
Kepler-598 c,1,2,0,86.49450000,,,0,0.357600,,,0,3.024,,,0,0.270,,,0,9.40000,,,0,0.02960,,,0,M-R relationship,1.870000,,,0,0.000000,,,0,4.29,1.03,-1.12,0,367,,,0,89.330,,,0,0,0.104550,0.002420,-0.002420,0,,5245.00,74.00,-74.00,0,0.90,,,0,0.90,,,0,0.030,0.070,-0.070,0,[M/H],-0.258,,,0,4.48,,,0,681.0860000,10.8130000,-10.8130000
Kepler-598 b,1,2,0,3.70175428,0.00000971,-0.00000971,0,0.043800,,,0,1.500,0.120,-0.090,0,0.134,0.011,-0.008,0,2.86000,,,0,0.00899,,,0,M-R relationship,4.660000,,,0,0.000000,,,0,265.41,11.21,-10.75,0,1050,,,0,84.830,,,0,0,0.029850,0.000920,-0.000920,0,,5307.00,87.96,-72.88,0,0.86,0.06,-0.05,0,0.87,0.04,-0.04,0,0.020,0.103,-0.105,0,[Fe/H],-0.258,,,0,4.51,0.05,-0.07,0,681.0860000,10.8130000,-10.8130000
Kepler-597 b,1,1,0,13.02365861,0.00002728,-0.00002728,0,0.105600,,,0,2.370,0.330,-0.130,0,0.211,0.029,-0.012,0,6.21000,,,0,0.01950,,,0,M-R relationship,2.560000,,,0,0.000000,,,0,76.38,2.77,-2.67,0,743,,,0,89.930,,,0,0,0.062240,0.001290,-0.001290,0,,5683.00,69.29,-59.31,0,0.95,0.06,-0.05,0,0.97,0.04,-0.04,0,-0.010,0.097,-0.102,0,[Fe/H],-0.033,,,0,4.47,0.04,-0.06,0,663.4180000,9.0720000,-9.0720000
Kepler-596 b,1,1,0,21.30022655,0.00004193,-0.00004193,0,0.156000,,,0,3.460,1.630,-0.470,0,0.309,0.145,-0.042,0,11.80000,,,0,0.03720,,,0,M-R relationship,1.570000,,,0,0.000000,,,0,82.30,4.36,-4.12,0,725,,,0,89.890,,,0,0,0.065980,0.001220,-0.001220,0,,6267.00,109.70,-108.73,0,1.32,0.62,-0.18,0,1.21,0.19,-0.10,0,0.030,0.129,-0.153,0,[Fe/H],0.314,,,0,4.27,0.10,-0.27,0,1023.8500000,23.5900000,-22.5600000
Kepler-595 c,1,2,0,12.38602000,0.00000500,-0.00000500,0,0.098300,,,0,1.009,0.024,-0.024,0,0.090,0.002,-0.002,0,3.30000,1.70000,-1.00000,0,0.01038,0.00535,-0.00315,0,Mass,17.700000,,,0,0.000000,,,0,50.23,9.45,-11.45,0,679,,,0,89.010,,,0,0,0.015130,0.001930,-0.001930,0,,5138.50,60.81,-60.81,0,0.82,0.24,-0.24,0,0.93,0.06,-0.06,0,0.406,0.058,-0.058,0,[M/H],-0.348,,,0,4.46,0.09,-0.04,0,643.0090000,7.6335000,-7.6335000
Kepler-595 b,1,2,0,25.30290920,0.00000600,-0.00000600,0,0.158200,,,0,3.708,0.010,-0.010,0,0.331,0.001,-0.001,0,17.40000,7.10000,-3.80000,0,0.05475,0.02234,-0.01196,0,Mass,1.880000,,,0,0.000000,,,0,17.38,0.63,-0.61,0,535,,,0,89.950,,,0,0,0.210570,0.001950,-0.001950,0,,5138.50,60.81,-60.81,0,0.82,0.24,-0.24,0,0.93,0.06,-0.06,0,0.406,0.058,-0.058,0,[M/H],-0.348,,,0,4.54,0.03,-0.07,0,643.0090000,7.6335000,-7.6335000
Kepler-594 b,1,1,0,13.64618192,0.00003489,-0.00003489,0,0.108900,,,0,2.180,0.220,-0.150,0,0.194,0.020,-0.013,0,5.39000,,,0,0.01700,,,0,M-R relationship,2.860000,,,0,0.000000,,,0,59.40,2.84,-2.70,0,678,,,0,89.790,,,0,0,0.063300,0.001660,-0.001660,0,,5485.00,80.49,-94.00,0,0.87,0.08,-0.06,0,0.91,0.04,-0.05,0,-0.030,0.144,-0.171,0,[Fe/H],-0.193,,,0,4.52,0.04,-0.09,0,769.2000000,13.4690000,-13.4690000
Kepler-593 b,1,1,0,21.21708973,0.00005927,-0.00005927,0,0.150800,,,0,2.870,0.690,-0.290,0,0.256,0.062,-0.026,0,8.60000,,,0,0.02710,,,0,M-R relationship,2.000000,,,0,0.000000,,,0,61.02,2.87,-2.72,0,706,,,0,86.390,,,0,0,0.063600,0.001300,-0.001300,0,,5967.00,96.47,-113.06,0,1.10,0.26,-0.11,0,1.08,0.08,-0.07,0,0.040,0.142,-0.156,0,[Fe/H],0.079,,,0,4.39,0.07,-0.16,0,973.7600000,16.5410000,-16.5410000
Kepler-592 b,1,1,0,2.82019241,0.00000379,-0.00000379,0,0.039700,,,0,2.390,0.580,-0.250,0,0.213,0.052,-0.022,0,6.30000,,,0,0.01980,,,0,M-R relationship,2.540000,,,0,0.000000,,,0,935.83,53.73,-50.56,0,1367,,,0,84.910,,,0,0,0.046750,0.000840,-0.000840,0,,5913.00,83.30,-74.23,0,1.04,0.25,-0.10,0,1.04,0.06,-0.07,0,-0.030,0.144,-0.193,0,[Fe/H],0.185,,,0,4.42,0.07,-0.17,0,1153.1300000,25.4400000,-24.3800000
Kepler-591 b,1,1,0,81.16942990,0.00031990,-0.00031990,0,0.355400,,,0,3.390,0.550,-0.250,0,0.302,0.049,-0.022,0,11.40000,,,0,0.03590,,,0,M-R relationship,1.610000,,,0,0.000000,,,0,5.62,0.23,-0.22,0,436,,,0,88.790,,,0,1,0.118320,0.002630,-0.002630,0,,5677.00,66.16,-71.43,0,0.94,0.13,-0.06,0,0.97,0.04,-0.04,0,0.010,0.130,-0.157,0,[Fe/H],-0.078,,,0,4.48,0.05,-0.11,0,785.1370000,11.1130000,-11.1130000
Kepler-590 b,1,1,0,5.85296257,0.00000474,-0.00000474,0,0.064700,,,0,4.020,1.090,-0.500,0,0.359,0.097,-0.045,0,15.20000,,,0,0.04790,,,0,M-R relationship,1.290000,,,0,0.000000,,,0,782.41,44.45,-41.75,0,1056,,,0,88.110,,,0,0,0.114650,0.000870,-0.000870,0,,6000.00,107.67,-147.47,0,1.15,0.31,-0.14,0,1.10,0.09,-0.08,0,0.070,0.140,-0.144,0,[Fe/H],0.477,,,0,4.35,0.10,-0.17,0,1421.8100000,33.5300000,-33.5300000
